INFO:root:time: 0.01 mins, modality: none, composite: 41.86%
INFO:root:time: 0.02 mins, modality: none, composite: 56.03%
INFO:root:time: 0.03 mins, modality: none, composite: 65.13%
INFO:root:time: 0.04 mins, modality: none, composite: 66.29%
INFO:root:time: 0.05 mins, modality: none, composite: 64.59%
INFO:root:time: 0.06 mins, modality: none, composite: 63.80%
INFO:root:time: 0.07 mins, modality: none, composite: 66.11%
INFO:root:time: 0.08 mins, modality: none, composite: 66.46%
INFO:root:time: 0.09 mins, modality: none, composite: 67.74%
INFO:root:time: 0.10 mins, modality: none, composite: 61.08%
INFO:root:time: 0.11 mins, modality: none, composite: 60.06%
INFO:root:time: 0.12 mins, modality: none, composite: 59.78%
INFO:root:time: 0.13 mins, modality: none, composite: 62.62%
INFO:root:time: 0.14 mins, modality: none, composite: 64.72%
INFO:root:time: 0.15 mins, modality: none, composite: 49.58%
INFO:root:time: 0.16 mins, modality: none, composite: 46.58%
INFO:root:time: 0.17 mins, modality: none, composite: 42.98%
INFO:root:time: 0.18 mins, modality: none, composite: 42.45%
INFO:root:time: 0.19 mins, modality: none, composite: 43.38%
INFO:root:time: 0.20 mins, modality: none, composite: 43.66%
INFO:root:time: 0.21 mins, modality: none, composite: 40.42%
INFO:root:time: 0.22 mins, modality: none, composite: 39.04%
INFO:root:time: 0.23 mins, modality: none, composite: 38.84%
INFO:root:time: 0.24 mins, modality: none, composite: 40.00%
INFO:root:time: 0.25 mins, modality: none, composite: 39.66%
INFO:root:time: 0.26 mins, modality: none, composite: 41.09%
INFO:root:time: 0.27 mins, modality: none, composite: 42.39%
INFO:root:time: 0.28 mins, modality: none, composite: 42.68%
INFO:root:time: 0.29 mins, modality: none, composite: 42.85%
INFO:root:time: 0.30 mins, modality: none, composite: 43.08%
INFO:root:time: 0.31 mins, modality: none, composite: 39.88%
INFO:root:time: 0.32 mins, modality: none, composite: 38.23%
INFO:root:time: 0.33 mins, modality: none, composite: 33.93%
INFO:root:time: 0.34 mins, modality: none, composite: 34.66%
INFO:root:time: 0.35 mins, modality: none, composite: 36.65%
INFO:root:time: 0.36 mins, modality: none, composite: 35.10%
INFO:root:time: 0.37 mins, modality: none, composite: 36.34%
INFO:root:time: 0.38 mins, modality: none, composite: 36.68%
INFO:root:time: 0.39 mins, modality: none, composite: 35.64%
INFO:root:time: 0.40 mins, modality: none, composite: 39.68%
INFO:root:time: 0.41 mins, modality: none, composite: 37.42%
INFO:root:time: 0.42 mins, modality: none, composite: 34.93%
INFO:root:time: 0.43 mins, modality: none, composite: 29.71%
INFO:root:time: 0.44 mins, modality: none, composite: 27.98%
INFO:root:time: 0.45 mins, modality: none, composite: 27.03%
INFO:root:time: 0.46 mins, modality: none, composite: 27.08%
INFO:root:time: 0.46 mins, modality: none, composite: 29.49%
INFO:root:time: 0.47 mins, modality: none, composite: 29.04%
INFO:root:time: 0.48 mins, modality: none, composite: 19.33%
INFO:root:time: 0.49 mins, modality: none, composite: 13.67%
INFO:root:time: 0.50 mins, modality: none, composite: 15.72%
INFO:root:time: 0.51 mins, modality: none, composite: 17.51%
INFO:root:time: 0.52 mins, modality: none, composite: 18.56%
INFO:root:time: 0.53 mins, modality: none, composite: 19.57%
INFO:root:time: 0.54 mins, modality: none, composite: 15.17%
INFO:root:time: 0.55 mins, modality: none, composite: 15.09%
INFO:root:time: 0.56 mins, modality: none, composite: 16.73%
INFO:root:time: 0.57 mins, modality: none, composite: 21.73%
INFO:root:time: 0.58 mins, modality: none, composite: 22.25%
INFO:root:time: 0.59 mins, modality: none, composite: 19.97%
INFO:root:time: 0.60 mins, modality: none, composite: 11.24%
INFO:root:time: 0.61 mins, modality: none, composite: 14.49%
INFO:root:time: 0.62 mins, modality: none, composite: 9.58%
INFO:root:time: 0.63 mins, modality: none, composite: 36.83%
INFO:root:time: 0.64 mins, modality: none, composite: 29.77%
INFO:root:time: 0.64 mins, modality: none, composite: 26.89%
INFO:root:time: 0.65 mins, modality: none, composite: 27.96%
INFO:root:time: 0.66 mins, modality: none, composite: 38.81%
INFO:root:time: 0.67 mins, modality: none, composite: 40.25%
INFO:root:time: 0.68 mins, modality: none, composite: 33.66%
INFO:root:time: 0.69 mins, modality: none, composite: 30.30%
INFO:root:time: 0.70 mins, modality: none, composite: 40.40%
INFO:root:time: 0.71 mins, modality: none, composite: 45.95%
INFO:root:time: 0.72 mins, modality: none, composite: 52.39%
INFO:root:time: 0.73 mins, modality: none, composite: 56.64%
INFO:root:time: 0.74 mins, modality: none, composite: 65.88%
INFO:root:time: 0.75 mins, modality: none, composite: 63.43%
INFO:root:time: 0.76 mins, modality: none, composite: 66.06%
INFO:root:time: 0.77 mins, modality: none, composite: 60.35%
INFO:root:time: 0.78 mins, modality: none, composite: 64.20%
INFO:root:time: 0.79 mins, modality: none, composite: 71.41%
INFO:root:time: 0.80 mins, modality: none, composite: 72.52%
INFO:root:time: 0.81 mins, modality: none, composite: 75.04%
INFO:root:time: 0.82 mins, modality: none, composite: 72.68%
INFO:root:time: 0.83 mins, modality: none, composite: 73.34%
INFO:root:time: 0.84 mins, modality: none, composite: 79.23%
INFO:root:time: 0.85 mins, modality: none, composite: 78.73%
INFO:root:time: 0.86 mins, modality: none, composite: 77.53%
INFO:root:time: 0.87 mins, modality: none, composite: 78.69%
INFO:root:time: 0.88 mins, modality: none, composite: 79.98%
INFO:root:time: 0.89 mins, modality: none, composite: 79.56%
INFO:root:time: 0.90 mins, modality: none, composite: 78.92%
INFO:root:time: 0.91 mins, modality: none, composite: 79.49%
INFO:root:time: 0.92 mins, modality: none, composite: 82.44%
INFO:root:time: 0.93 mins, modality: none, composite: 82.35%
INFO:root:time: 0.94 mins, modality: none, composite: 83.20%
INFO:root:time: 0.95 mins, modality: none, composite: 82.16%
INFO:root:time: 0.96 mins, modality: none, composite: 81.79%
INFO:root:time: 0.97 mins, modality: none, composite: 81.41%
INFO:root:time: 0.98 mins, modality: none, composite: 84.40%
INFO:root:time: 0.99 mins, modality: none, composite: 83.78%
INFO:root:time: 1.00 mins, modality: none, composite: 82.94%
INFO:root:time: 2.00 mins, modality: none, composite: 33.33%
INFO:root:time: 2.01 mins, modality: none, composite: 36.41%
INFO:root:time: 2.02 mins, modality: none, composite: 35.46%
INFO:root:time: 2.03 mins, modality: none, composite: 34.51%
INFO:root:time: 2.04 mins, modality: none, composite: 37.47%
INFO:root:time: 2.05 mins, modality: none, composite: 39.43%
INFO:root:time: 2.07 mins, modality: none, composite: 38.41%
INFO:root:time: 2.08 mins, modality: none, composite: 34.62%
INFO:root:time: 2.08 mins, modality: none, composite: 33.57%
INFO:root:time: 2.09 mins, modality: none, composite: 29.21%
INFO:root:time: 2.10 mins, modality: none, composite: 21.25%
INFO:root:time: 2.11 mins, modality: none, composite: 24.15%
INFO:root:time: 2.12 mins, modality: none, composite: 21.21%
INFO:root:time: 2.14 mins, modality: none, composite: 21.06%
INFO:root:time: 2.15 mins, modality: none, composite: 23.15%
INFO:root:time: 2.16 mins, modality: none, composite: 26.42%
INFO:root:time: 2.17 mins, modality: none, composite: 28.83%
INFO:root:time: 2.17 mins, modality: none, composite: 23.87%
INFO:root:time: 2.18 mins, modality: none, composite: 28.30%
INFO:root:time: 2.20 mins, modality: none, composite: 26.13%
INFO:root:time: 2.21 mins, modality: none, composite: 22.06%
INFO:root:time: 2.21 mins, modality: none, composite: 21.59%
INFO:root:time: 2.22 mins, modality: none, composite: 22.06%
INFO:root:time: 2.23 mins, modality: none, composite: 22.32%
INFO:root:time: 2.24 mins, modality: none, composite: 20.90%
INFO:root:time: 2.25 mins, modality: none, composite: 17.13%
INFO:root:time: 2.26 mins, modality: none, composite: 15.79%
INFO:root:time: 2.28 mins, modality: none, composite: 18.72%
INFO:root:time: 2.29 mins, modality: none, composite: 20.20%
INFO:root:time: 2.30 mins, modality: none, composite: 21.99%
INFO:root:time: 2.31 mins, modality: none, composite: 22.68%
INFO:root:time: 2.32 mins, modality: none, composite: 26.35%
INFO:root:time: 2.33 mins, modality: none, composite: 25.87%
INFO:root:time: 2.34 mins, modality: none, composite: 24.35%
INFO:root:time: 2.35 mins, modality: none, composite: 25.99%
INFO:root:time: 2.36 mins, modality: none, composite: 25.82%
INFO:root:time: 2.38 mins, modality: none, composite: 29.73%
INFO:root:time: 2.39 mins, modality: none, composite: 36.79%
INFO:root:time: 2.40 mins, modality: none, composite: 33.91%
INFO:root:time: 2.41 mins, modality: none, composite: 32.22%
INFO:root:time: 2.42 mins, modality: none, composite: 31.17%
INFO:root:time: 2.43 mins, modality: none, composite: 33.42%
INFO:root:time: 2.44 mins, modality: none, composite: 35.72%
INFO:root:time: 2.45 mins, modality: none, composite: 38.67%
INFO:root:time: 2.46 mins, modality: none, composite: 37.22%
INFO:root:time: 2.47 mins, modality: none, composite: 36.15%
INFO:root:time: 2.48 mins, modality: none, composite: 30.15%
INFO:root:time: 2.48 mins, modality: none, composite: 35.08%
INFO:root:time: 2.49 mins, modality: none, composite: 29.61%
INFO:root:time: 2.50 mins, modality: none, composite: 35.71%
INFO:root:time: 2.51 mins, modality: none, composite: 35.01%
